Job Title,text
Community education co-ordinator,University College Apprenticeship Volunteering Direct Application More Information You can get into this job through Youll find it useful to have a foundation degree or degree in a subject like Youll usually need You could take a college course which may help when applying for a trainee job
Community education co-ordinator,Courses include Entry requirements for these courses vary
Community education co-ordinator,You could start by doing an advanced apprenticeship in youth support work learning and development or cultural learning and particpation
Community education co-ordinator,Youll usually need Volunteering is a good way to build up contacts and can help you to get work in community education or development
Community education co-ordinator,You can find volunteering opportunities through The National Council for Voluntary Organisations and Do It
Community education co-ordinator,You can apply directly for jobs if youve got paid or voluntary experience of working in the community
Community education co-ordinator,For example in adult education teaching or youth work
Community education co-ordinator,Experience of working with disadvantaged or vulnerable groups will also be helpful
Community education co-ordinator,You can get more details about working in the community from your local council and locality
Community education co-ordinator,a university course a college course an apprenticeship volunteering applying directly education sociology youth and community development 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 2 and 3 Certificate in Community Development Level 4 Higher National Certificate in Social and Community Work funding advice search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships The National Council for Voluntary Organisations Do It local council locality
Customer services manager,University College Apprenticeship Work Other Routes More Information You can get into this job through You could do a foundation degree higher national diploma or degree then apply for a graduate management trainee scheme
Customer services manager,You can apply for graduate trainee schemes with almost any degree
Customer services manager,Some employers may prefer you to have a degree in a subject relevant to the sector you want to work in for example Youll usually need It may help to complete a Level 3 or Level 4 Diploma in Customer Services
Customer services manager,You may need You could do a customer service specialist advanced apprenticeship
Customer services manager,After finishing you could take further training to become a manager
Customer services manager,You may be able to do a specific higher or degree apprenticeship for your industry
Customer services manager,For example management apprenticeships are available in Youll usually need You could start as a customer service adviser and train on the job to become a team supervisor team leader then manager
Customer services manager,There are many customer service training courses and your employer would suggest the ones most relevant to the industry you work in
Customer services manager,You could choose to do general management qualifications to help you get into this career
Customer services manager,These qualifications are offered by professional bodies such as the Institute of Leadership and Management and the Chartered Management Institute
Customer services manager,You could join The Institute of Customer Service to find professional development training
Customer services manager,a university course a college course an apprenticeship working towards this role training with a professional body business management retail management tourism and hospitality financial services 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course 1 or 2 A levels a level 3 diploma or relevant experience for a level 4 or level 5 course equivalent entry requirements funding advice search for courses marketing retail hospitality passenger transport 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Professional and industry bodies equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Institute of Leadership and Management Chartered Management Institute The Institute of Customer Service
E-commerce manager,University Apprenticeship Work Volunteering Other Routes More Information You can get into this job through Companies recruit from a range of degree subjects
E-commerce manager,You may have an advantage with a foundation degree higher national diploma or degree in subjects like Its important to gain experience during your degree through things like work shadowing internships or year in industry placements
E-commerce manager,Your university careers service can help you to find suitable opportunities
E-commerce manager,Youll usually need The following degree apprenticeships are relevant to this role Youll usually need You could start working as an assistant in a retail buying or marketing department and become an ecommerce manager through training and promotion
E-commerce manager,You could get online sales skills and experience through DoIT has more information on volunteering opportunities
E-commerce manager,You can apply for a graduate training scheme with a company if you have a degree
E-commerce manager,a university course an apprenticeship working towards this role a graduate training scheme business management digital marketing business enterprise retail management 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements digital marketer express delivery manager retail leadership 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships volunteering for charities who sell items online using websites like online auction sites or second hand sales sites a work placement in a retail marketing department or marketing agency Entry requirements More Information Entry requirements More Information Career tips equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to apprenticeships DoIT Skills Tool Kit
Economic development officer,University Apprenticeship Work Direct Application More Information You can get into this job through You could do a foundation degree higher national diploma degree or postgraduate qualification in one of the following subjects Youll usually need You could do a professional economist degree apprenticeship
Economic development officer,Youll usually need You could start as an assistant researcher or administrator in an economic development unit
Economic development officer,You could then work your way up through training and promotion to become a development officer
Economic development officer,You could apply directly if youve got a background in bidding for funding managing projects controlling budgets or marketing
Economic development officer,Youll usually need experience from working in a related area like You could become a member of the Institute of Economic Development to build your network and access training opportunities
Economic development officer,You can learn more about working in economic development through the Institute of Economic Development
Economic development officer,a university course an apprenticeship working towards this role applying directly regeneration planning and surveying economics marketing business management construction management housing 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree a degree in any subject for a postgraduate course equivalent entry requirements student finance for fees and living costs university courses and entry requirements 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a degree apprenticeship equivalent entry requirements guide to apprenticeships town planning community development regeneration business advice construction management Entry requirements More Information Entry requirements More Information Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to apprenticeships Institute of Economic Development more about working in economic development
Events manager,University College Apprenticeship Work Volunteering Direct Application More Information You can get into this job through A degree is not essential for this role but you may have an advantage if you have a foundation degree higher national diploma or degree
Events manager,Particularly relevant subjects include University courses that include work placements will help you get practical experience and develop contacts in the industry
Events manager,Youll usually need There is no set entry route to become an events manager so many courses would be acceptable
Events manager,You can gain particularly relevant skills and knowledge through courses like Some travel and tourism courses may also include an events planning option
Events manager,Youll usually need You could get started in the conference and events industry through the following apprenticeships Youll usually need You could start as an admin or marketing assistant and work your way up through training and promotion
Events manager,Companies that would be good to work at include conference management marketing or public relations
Events manager,Volunteer work as a crew member at large events or exhibitions can be a good way to get experience build contacts in the industry and get to know about vacancies that go unadvertised
Events manager,To find volunteering opportunities You can apply directly if you can show you have a lot of experience working in areas like public relations marketing or hospitality
Events manager,Employers will usually look for relevant experience and strong transferable skills like organising budget management and marketing
Events manager,It may be especially useful to get any experience you can gain in industries like Find training opportunities and make industry contacts through organisations like You can find out more about becoming an events manager from a university course a college course an apprenticeship working towards this role volunteering applying directly events management marketing communications hospitality management leisure and tourism business management 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 2 Certificate in Event Planning Level 3 Certificate in Event Management Level 3 Diploma in Live Events and Promotion 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course equivalent entry requirements funding advice search for courses events assistant advanced apprenticeship hospitality management higher apprenticeship 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships follow conference and events organisations on social media look out for news of events in your local area search Do IT hotel conference and banqueting travel sales PR fundraising Association of Event Organisers Eventia Association of Event Organisers Association of British Professional Conference Organisers Entry requirements More Information Entry requirements More Information Entry requirements More Information Career tips Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Do IT Association of Event Organisers Eventia Association of Event Organisers Association of British Professional Conference Organisers
Headteacher,Work More Information You can get into this job by working towards this role
Headteacher,You can become a headteacher after working as a teacher in a school
Headteacher,Youll also need several years experience as a senior manager or deputy head
Headteacher,You can take professional development training to help with this
Headteacher,For example the National Professional Qualification for Senior Leadership and the National Professional Qualification for Headship
Headteacher,You can discover more about senior teaching careers from Ambition Institute and Get Into Teaching
Headteacher,You can also search for jobs through the Teaching Vacancies service
Headteacher,youll usually need qualified teacher status QTS to teach in a state school in England Registration Further information National Professional Qualification for Senior Leadership National Professional Qualification for Headship qualified teacher status Ambition Institute Get Into Teaching Teaching Vacancies
Housing officer,University College Apprenticeship Work Volunteering Direct Application More Information You can get into this job through You could complete a foundation degree or degree in Youll usually need You can do a college course like the Level 2 or 3 Certificate in Housing Practice
Housing officer,Youll usually need You can take a housing property assistant intermediate apprenticeship and then a housing and property management advanced apprenticeship
Housing officer,Youll usually need You may be able to start as a housing or admin assistant and work your way up
Housing officer,You could do this through onthejob training leading to a qualification like the Level 2 or 3 Certificate in Housing Practice offered by the Chartered Institute of Housing
Housing officer,You may find it helpful to get some experience with a housing charity or local tenants association
Housing officer,See Doit and NCVO for information on voluntary opportunities in your area
Housing officer,You may be able to apply to a local authority or housing association for a place on a graduate training scheme if you have a degree
Housing officer,You could work for a local authority a housing association or a charity like Shelter
Housing officer,You could also work for a university or property company
Housing officer,You can get more advice about careers and training in housing from the Chartered Institute of Housing
Housing officer,a university course a college course an apprenticeship working towards this role applying directly housing studies social policy building surveying at least 1 A level or equivalent for a foundation degree 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course equivalent entry requirements funding advice search for courses some GCSEs usually including English and maths or equivalent for an intermediate apprenticeship 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Career tips Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Chartered Institute of Housing Doit NCVO Shelter Chartered Institute of Housing
Leisure centre manager,University College Apprenticeship Work Volunteering Other Routes More Information You can get into this job through You could do a foundation degree higher national diploma or degree in Youll usually need You could do a college course which would teach you some of the skills and knowledge you need in this job
Leisure centre manager,Relevant subjects include Youll usually need You could get into the leisure industry through an advanced apprenticeship as a leisure duty manager
Leisure centre manager,This will usually take 18 months to complete
Leisure centre manager,Youll do onthejob training and spend time with a college or training provider
Leisure centre manager,You may be able to start off as an intermediate leisure team member apprentice and then apply for trainee management positions leading to the advanced apprenticeship
Leisure centre manager,Most people following this route have You could start as an admin officer fitness assistant or management trainee in a leisure centre and work towards professional qualifications to become a manager
Leisure centre manager,You could improve your chances of employment by getting practical experience in a leisure centre either through seasonal work or by volunteering
Leisure centre manager,You could apply for a graduate management trainee scheme with one of the large leisure companies if youve got a degree
Leisure centre manager,You would work in different areas of the business while completing professional qualifications to become a manager
Leisure centre manager,You may find it useful to join the Chartered Institute for the Management of Sport and Physical Activity for professional recognition training opportunities and to make industry contacts
Leisure centre manager,You can find out more about working in leisure from the Chartered Institute for the Management of Sport and Physical Activity
Leisure centre manager,a university course a college course an apprenticeship working towards this role a graduate training scheme sports and leisure management leisure studies sports science recreation management business management 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 3 Diploma in Leisure Management Level 3 Diploma in Sport and Physical Activity 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course equivalent entry requirements funding advice search for courses some GCSEs usually including English and maths or equivalent for an intermediate apprenticeship 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Chartered Institute for the Management of Sport and Physical Activity Chartered Institute for the Management of Sport and Physical Activity
Management consultant,University Apprenticeship Direct Application Other Routes More Information You can get into this job through It may be useful to have a degree or postgraduate qualification in a subject like A postgraduate qualification like a masters in business administration MBA may also be helpful
Management consultant,Youll usually need You could do a junior management consultant higher apprenticeship and work your way up as your experience grows
Management consultant,Youll usually need You can apply directly to become a management consultant or set up your own business if youve got relevant work experience in You may be able to join a graduate training scheme straight from university
Management consultant,Competition for places on schemes is strong so it may help if you have Foreign language skills are highly valued as many firms work with international clients
Management consultant,You may find it helps to become a member of a professional body like the Institute of Consulting
Management consultant,You can find out more about careers in management consultancy from the Management Consultancies Association and the Chartered Management Institute
Management consultant,a university course an apprenticeship applying directly a graduate training scheme business studies maths finance science project management 2 to 3 A levels or equivalent for a degree a degree in any subject for a postgraduate course equivalent entry requirements student finance for fees and living costs university courses and entry requirements 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships business management or finance human resources project management IT a minimum of a 21 degree in a subject like business studies or business management evidence of analytical planning and communication skills relevant work experience from placements internships or temporary jobs Entry requirements More Information Entry requirements More Information Career tips Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to apprenticeships Institute of Consulting Management Consultancies Association Chartered Management Institute
Nursery manager,University College Apprenticeship Work More Information You can get into this job through You can do a foundation degree or degree in child development or a related subject for example Some nurseries may prefer you to have early years teacher status EYTS
Nursery manager,Youll usually need You could start by doing a Level 3 Diploma for the Children and Young Peoples Workforce
Nursery manager,You can also do other childcare qualifications but they must be at least level 3 if you want to become a manager
Nursery manager,Youll usually need You could complete an advanced early years practitioner apprenticeship or an early years lead practitioner higher apprenticeship
Nursery manager,Once you have experience as a nursery worker you could apply for a job as a deputy manager or manager
Nursery manager,Youll usually need Many people start as a nursery worker
Nursery manager,With experience and further training you can apply for supervisor jobs then move into nursery management
Nursery manager,Youll usually need at least 2 years work experience with children in a nursery to apply to become a manager
Nursery manager,You can get more advice about careers in early years education and training from the Professional Association for Childcare and Early Years and the National Day Nurseries Association You can also find out more about working in childcare through the early years career progression map
Nursery manager,a university course a college course an apprenticeship working towards this role early years education psychology childhood studies at least 1 A level or equivalent for a foundation degree 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course equivalent entry requirements funding advice search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Further information early years teacher status equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Professional Association for Childcare and Early Years National Day Nurseries Association early years career progression map
Production manager (manufacturing),University Apprenticeship Work Direct Application More Information You can get into this job through You could do a foundation degree higher national diploma or degree in manufacturing
Production manager (manufacturing),Some employers may look for a degree of relevance to their particular industry for example Its important to gain relevant industry experience during your degree
Production manager (manufacturing),This could be through With a degree you can apply to manufacturing or production graduate management schemes
Production manager (manufacturing),Youll usually need The apprenticeship route you take will depend on the sector you want to work in
Production manager (manufacturing),The following higher and degree apprenticeships may help you to get into this role Youll usually need You could start as an engineering technician or quality control officer in a manufacturing company
Production manager (manufacturing),You could then become a team leader and shift supervisor before moving into production management through training and promotion
Production manager (manufacturing),You could apply for a place on a management training scheme with a manufacturing company
Production manager (manufacturing),They usually ask for a degree but you may be able to start without university qualifications if you can show youve enough relevant industry experience
Production manager (manufacturing),A knowledge of production methods and quality standards for example ISO9000 will be helpful
Production manager (manufacturing),a university course an apprenticeship working towards this role applying directly automotive or aerospace engineering food production pharmaceuticals chemical engineering materials engineering vacation placements internships year in industry schemes 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements process leader higher apprenticeship manufacturing management degree apprenticeship food and drink advanced production engineer apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Career tips equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to apprenticeships
Quality assurance manager,University Apprenticeship Work Direct Application More Information You can get into this job through You could do a degree or postgraduate qualification in You may need a degree that is specific to the industry you want to work in like Youll usually need The following apprenticeship may be relevant to this role This apprenticeship typically takes 14 months to complete
Quality assurance manager,You could work in any kind of industry or sector that has quality control processes
Quality assurance manager,Youll usually need You could work as a quality control assistant and move into quality assurance management by doing training on the job for example through the Chartered Quality Institute
Quality assurance manager,You could apply for jobs directly if youve got experience in quality control and management from other industries
Quality assurance manager,An understanding of British quality standards and working methods will be useful when applying for jobs in quality control
Quality assurance manager,Knowledge of business improvement methods like lean management and Six Sigma will also be helpful
Quality assurance manager,You can find out more about working in quality management through the Chartered Quality Institute
Quality assurance manager,a university course an apprenticeship working towards this role applying directly production management business studies human resources management business administration science construction engineering pharmaceuticals 2 to 3 A levels or equivalent for a degree a degree in any subject for a postgraduate course equivalent entry requirements student finance for fees and living costs university courses and entry requirements level 4 Quality practitioner 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship guide to apprenticeships equivalent entry requirements Entry requirements More Information Entry requirements More Information Career tips Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements guide to apprenticeships equivalent entry requirements Chartered Quality Institute British quality standards Chartered Quality Institute
Retail manager,University College Apprenticeship Work Other Routes You can get into this job through You could do a degree before applying to join an organisations management training scheme
Retail manager,Most subjects are accepted but you may have an advantage if you study Its useful to gain some experience in retail during your studies
Retail manager,You can do this through parttime retail jobs internships and year placement schemes
Retail manager,Your university careers service can help you find suitable opportunities
Retail manager,Youll usually need You could do a college course which would teach you some of the skills and knowledge you need in this job
Retail manager,Relevant subjects include Youll usually need You could start off in a retail team leader advanced apprenticeship and work your way up or do a retail manager higher apprenticeship or retail leadership degree apprenticeship
Retail manager,Youll usually need You may be able to start as a retail sales assistant and work your way up through promotion to supervisor or department manager
Retail manager,You could also get into this job by switching from a managerial post in a related industry like customer service
Retail manager,You would be given training in retail to build on your existing management experience
Retail manager,Many national retailers run trainee management schemes
Retail manager,Some will be for people with a suitable degree
Retail manager,These combine training and mentoring with work placements in different parts of the business to develop your retail knowledge skills and leadership qualities
Retail manager,a university course a college course an apprenticeship working towards this role a company training scheme business retail management retail marketing 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 3 Diploma in Retail Skills Management Level 4 Diploma in Retail Management 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course 1 or 2 A levels a level 3 diploma or relevant experience for a level 4 or level 5 course equivalent entry requirements funding advice search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships
Social services manager,University College Apprenticeship Direct Application More Information You can get into this job through You could do a degree or postgraduate qualification before applying for a management trainee place with a local authority
Social services manager,Most subjects are accepted though you may have an advantage with a qualification in Youll usually need You could learn some of the skills you need for this job through a college course like a Level 4 or 5 Diploma in Health and Social Care Management
Social services manager,Youll usually need You may be able to start on a higher apprenticeship for children young people and families managers or care leadership and management then do further onthejob training
Social services manager,You could also do a social worker degree apprenticeship to get a trainee managers position
Social services manager,Youll usually need Youll need several years management experience and a relevant qualification like the Level 5 Diploma in Leadership in Health and Social Care to apply for job vacancies directly
Social services manager,Employers will expect you to have a clear understanding of legislation safety standards and social policy for your chosen field
Social services manager,Youll find more advice about working in social services from Think Care Careers
Social services manager,a university course a college course an apprenticeship applying directly social work mental health nursing public health policy health and social care 2 to 3 A levels or equivalent for a degree a degree in any subject for a postgraduate course equivalent entry requirements student finance for fees and living costs university courses and entry requirements 1 or 2 A levels a level 3 diploma or relevant experience for a level 4 or level 5 course equivalent entry requirements funding advice search for courses 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships youll need to register with Social Work England Entry requirements More Information Entry requirements More Information Entry requirements More Information Registration Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Social Work England Think Care Careers
Tour manager,University College Apprenticeship Work Direct Application More Information You can get into this job through You could do a foundation degree higher national diploma or degree in a subject like travel and tourism management although this isnt essential
Tour manager,Youll usually need You could take a college course like a Level 4 Diploma in Tourism Management which may give you some of the skills and knowledge needed for this role
Tour manager,Youll usually need You may be able to get into this job through a travel consultant advanced apprenticeship
Tour manager,Youll usually need You could move into this job after getting experience in a related role like a travel agent tour guide or tour rep
Tour manager,You can apply for jobs directly if you have You could join the Institute of Travel  Tourism which offers industry training courses news and networking opportunities to members
Tour manager,You can find more information on careers in the travel industry from the Institute of Travel Tourism
Tour manager,a university course a college course an apprenticeship working towards this role applying directly 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements 1 or 2 A levels a level 3 diploma or relevant experience for a level 4 or level 5 course equivalent entry requirements funding advice search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships experience of working with people a friendly and approachable manner a keen interest in the culture geography and history of the locations covered by the tour a good working knowledge of foreign languages if touring overseas experience of working overseas if the job youre applying for is based abroad Entry requirements More Information Entry requirements More Information Entry requirements More Information Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Institute of Travel  Tourism Institute of Travel Tourism
Training manager,University College Apprenticeship Work Direct Application Other Routes More Information You can get into this job through There is no set entry route to become a training manager but you may find it useful to do a foundation degree higher national diploma or degree in Youll usually need You could take a college course to become a manager if you have some experience in training or teaching
Training manager,Courses include Entry requirements for these courses vary
Training manager,You could get into this role by doing the Learning and Development Consultant Higher Apprenticeship or the Senior People Professional Degree Apprenticeship
Training manager,Youll usually need You could start as a business administrator or training officer in a companys human resources department and work your way up through training and promotion
Training manager,You could apply directly if youve got experience as a training officer
Training manager,Most organisations will expect you to have an understanding of their industry
Training manager,You can study for professional qualifications in learning and development either online or at a training centre approved by the Chartered Institute of Personnel and Development
Training manager,You might find these useful when you apply for jobs
Training manager,You might find it useful if you have a background or experience You can join the Chartered Institute of Personnel and Development for professional recognition training opportunities and to make industry contacts
Training manager,You can find out more about becoming a training manager from the Chartered Institute of Personnel and Development
Training manager,a university course a college course an apprenticeship working towards this role applying directly specialist courses run by professional bodies business studies human resources management communications 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 3 Diploma in Learning and Development Level 4 Certificate in Workforce Performance Development Level 5 Associate Diploma in Organisational Learning and Development funding advice search for courses 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships teaching in schools teaching in further education working as a skills assessor Entry requirements More Information Entry requirements More Information Entry requirements More Information Career tips Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Chartered Institute of Personnel and Development join the Chartered Institute of Personnel and Development becoming a training manager from the Chartered Institute of Personnel and Development
Transport planner,University Apprenticeship More Information You can get into this job through You can do a degree and then join an organisation as a trainee transport planner
Transport planner,Most subjects are accepted though you may have an advantage if you study Many graduates go on to do a postgraduate qualification in transport planning approved by the Transport Planning Society
Transport planner,Getting work experience through internships summer placements or a year in industry may give you an advantage when applying for graduate roles
Transport planner,Your university careers service can help you to find opportunities during your studies
Transport planner,Youll usually need You can start by doing a transport planning technician advanced apprenticeship then move on to a transport planner degree apprenticeship
Transport planner,Youll usually need You could join the Transport Planning Society or The Chartered Institution of Highways and Transportation for professional development and training opportunities
Transport planner,You can find out more about becoming a transport planner from the Transport Planning Society
Transport planner,a university course an apprenticeship geography civil engineering economics town planning environmental science business studies 2 to 3 A levels or equivalent for a degree a degree in any subject for a postgraduate course equivalent entry requirements student finance for fees and living costs university courses and entry requirements 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Professional and industry bodies Further information Transport Planning Society equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to apprenticeships Transport Planning Society The Chartered Institution of Highways and Transportation Transport Planning Society
Travel agency manager,University College Apprenticeship Work Direct Application More Information You can get into this job through You could do a foundation degree higher national diploma or degree in a subject like You could join a travel company as a trainee manager once you finish your course
Travel agency manager,Youll usually need You could do a college course which may help when you start to look for work as a trainee manager
Travel agency manager,Courses include Youll usually need You could start by doing a travel consultant advanced apprenticeship then take further onthejob training to become a manager
Travel agency manager,Youll usually need You could join a company as a travel agent and work your way up to become an assistant manager then manager as you get more experience
Travel agency manager,You could also do training on the job
Travel agency manager,You could apply to be a travel agency manager if youve got experience in retail management or sales
