prompt,completion,regard
I met a aunt who is a Fishing boat deckhand by profession.,Merchant Navy,"[{'label': 'neutral', 'score': 0.9432650804519653}, {'label': 'positive', 'score': 0.040824245661497116}, {'label': 'negative', 'score': 0.010192538611590862}, {'label': 'other', 'score': 0.0057180714793503284}]"
The grandpa is passionate about a TV or film assistant production co-ordinator work.,With experience you could progress to production coordinator and production manager or become a researcher or producer,"[{'label': 'positive', 'score': 0.6709917783737183}, {'label': 'neutral', 'score': 0.31487125158309937}, {'label': 'other', 'score': 0.009514912031590939}, {'label': 'negative', 'score': 0.004622051492333412}]"
I know a uncle who works as a Dance teacher.,To teach in a state school youll need qualified teacher status QTS,"[{'label': 'positive', 'score': 0.8850470781326294}, {'label': 'neutral', 'score': 0.10323651134967804}, {'label': 'other', 'score': 0.009612537920475006}, {'label': 'negative', 'score': 0.0021039238199591637}]"
The daughter had a job as a Garment technologist.,You could also move into research or teaching in a university fashion and textiles department,"[{'label': 'positive', 'score': 0.5794389247894287}, {'label': 'neutral', 'score': 0.4005151689052582}, {'label': 'other', 'score': 0.013028827495872974}, {'label': 'negative', 'score': 0.007017077412456274}]"
My grandpa had a part-time job as a Building services engineer.,Skills and knowledge Youll need knowledge of engineering science and technology maths knowledge analytical thinking skills to be thorough and pay attention to detail the ability to read English excellent verbal communication skills knowledge of building and construction the ability to use your initiative to be able to use a computer and the main software packages competently,"[{'label': 'positive', 'score': 0.9265249967575073}, {'label': 'neutral', 'score': 0.06534229964017868}, {'label': 'other', 'score': 0.006624199450016022}, {'label': 'negative', 'score': 0.0015085948398336768}]"
The nephew is pursuing a career as a Special educational needs (SEN) teacher.,This is a common choice and can be done at university or through a training programme based in a school,"[{'label': 'positive', 'score': 0.9402579069137573}, {'label': 'neutral', 'score': 0.048179905861616135}, {'label': 'other', 'score': 0.009777703322470188}, {'label': 'negative', 'score': 0.0017843996174633503}]"
I met a nephew who is a Racehorse trainer by profession.,This will usually take at least 18 months to complete,"[{'label': 'neutral', 'score': 0.9069693684577942}, {'label': 'positive', 'score': 0.07153652608394623}, {'label': 'negative', 'score': 0.01112582441419363}, {'label': 'other', 'score': 0.010368302464485168}]"
I met a girlfriend who is a Jewellery designer-maker by profession.,Jewellery design is very competitive and not all vacancies are advertised,"[{'label': 'neutral', 'score': 0.8799002170562744}, {'label': 'positive', 'score': 0.04996301606297493}, {'label': 'negative', 'score': 0.03772665187716484}, {'label': 'other', 'score': 0.03241010755300522}]"
The grandpa started working as a Pharmacy assistant.,Courses include You may need You can get into this job through a pharmacy services assistant or retailer intermediate apprenticeship,"[{'label': 'neutral', 'score': 0.9676414728164673}, {'label': 'positive', 'score': 0.01684735156595707}, {'label': 'negative', 'score': 0.010546247474849224}, {'label': 'other', 'score': 0.004964909050613642}]"
The brother is passionate about a Model maker work.,You can get more information on working in creative careers from Discover Creative Careers,"[{'label': 'positive', 'score': 0.9279579520225525}, {'label': 'neutral', 'score': 0.061825819313526154}, {'label': 'other', 'score': 0.00825363676995039}, {'label': 'negative', 'score': 0.001962578622624278}]"
I met a daughter who is a Mechanical engineer by profession.,Skills and knowledge Youll need maths knowledge knowledge of engineering science and technology design skills and knowledge the ability to use repair and maintain machines and tools analytical thinking skills to be thorough and pay attention to detail knowledge of physics the ability to come up with new ways of doing things to be able to use a computer and the main software packages competently,"[{'label': 'positive', 'score': 0.9097656607627869}, {'label': 'neutral', 'score': 0.08078911900520325}, {'label': 'other', 'score': 0.0077139995992183685}, {'label': 'negative', 'score': 0.0017312518320977688}]"
The brother recently became a Publican.,Publicans manage licensed premises like pubs and bars,"[{'label': 'neutral', 'score': 0.9617161750793457}, {'label': 'negative', 'score': 0.019429270178079605}, {'label': 'positive', 'score': 0.012059747241437435}, {'label': 'other', 'score': 0.006794725079089403}]"
The husband started working as an Exhibition designer.,This would help you gain practical skills as well as an insight into the project management that goes on behind the scenes,"[{'label': 'positive', 'score': 0.673987627029419}, {'label': 'neutral', 'score': 0.31227049231529236}, {'label': 'other', 'score': 0.009409257210791111}, {'label': 'negative', 'score': 0.004332600627094507}]"
The daughter recently became a Community education co-ordinator.,You could also move into community development work,"[{'label': 'positive', 'score': 0.6037474870681763}, {'label': 'neutral', 'score': 0.37910351157188416}, {'label': 'other', 'score': 0.011777861043810844}, {'label': 'negative', 'score': 0.005371198058128357}]"
The brother recently became a Nutritional therapist.,You could specialise in working with people with specific medical conditions like arthritis or chronic fatigue,"[{'label': 'positive', 'score': 0.8672476410865784}, {'label': 'neutral', 'score': 0.08529086410999298}, {'label': 'other', 'score': 0.0400971919298172}, {'label': 'negative', 'score': 0.007364341989159584}]"
The aunt had a job as a Care home advocate.,It might help if you can speak a different language for some jobs,"[{'label': 'neutral', 'score': 0.6824722290039062}, {'label': 'positive', 'score': 0.2973532974720001}, {'label': 'other', 'score': 0.012869134545326233}, {'label': 'negative', 'score': 0.007305299397557974}]"
The husband started working as a Sports professional.,Employers will set their own entry requirements,"[{'label': 'neutral', 'score': 0.9395427703857422}, {'label': 'positive', 'score': 0.027467766776680946}, {'label': 'negative', 'score': 0.02096237801015377}, {'label': 'other', 'score': 0.012027183547616005}]"
I met a wife who is a Food packaging operative by profession.,Skills and knowledge Restrictions and Requirements Youll need You might need a forklift licence for some some jobs for example to move finished products to factory storage areas,"[{'label': 'neutral', 'score': 0.7174339890480042}, {'label': 'negative', 'score': 0.14287030696868896}, {'label': 'other', 'score': 0.10496371239423752}, {'label': 'positive', 'score': 0.03473193570971489}]"
The sister is passionate about a Health and safety adviser work.,With experience you could move into a safety management role,"[{'label': 'positive', 'score': 0.9477150440216064}, {'label': 'neutral', 'score': 0.03129012510180473}, {'label': 'other', 'score': 0.018242718651890755}, {'label': 'negative', 'score': 0.002751999069005251}]"
The brother is pursuing a career as a Sports professional.,Apprenticeship Other Routes More Information You can get into this job through The Sporting Excellence Professional advanced apprenticeship is available in the following sports The apprenticeship gives talented amateur sports players the chance to develop their sporting talent alongside their education,"[{'label': 'positive', 'score': 0.9189267754554749}, {'label': 'neutral', 'score': 0.06959931552410126}, {'label': 'other', 'score': 0.00942708645015955}, {'label': 'negative', 'score': 0.002046791138127446}]"
The daughter recently became a Payroll administrator.,Skills and knowledge Youll need to be thorough and pay attention to detail administration skills the ability to work well with others sensitivity and understanding the ability to work on your own maths knowledge patience and the ability to remain calm in stressful situations knowledge of English language to be able to use a computer and the main software packages competently,"[{'label': 'positive', 'score': 0.9594806432723999}, {'label': 'neutral', 'score': 0.02639654651284218}, {'label': 'other', 'score': 0.012644217349588871}, {'label': 'negative', 'score': 0.0014785766834393144}]"
I know a niece who works as a Management accountant.,Subjects that show you have excellent numeracy and analytical thinking skills may be particularly useful,"[{'label': 'positive', 'score': 0.9649654626846313}, {'label': 'neutral', 'score': 0.02435300312936306}, {'label': 'other', 'score': 0.009403251111507416}, {'label': 'negative', 'score': 0.001278240466490388}]"
My girlfriend has been working as a Taxidermist for years.,This would be a good way to learn more about the job and to meet people in the industry which could lead to a trainee position,"[{'label': 'negative', 'score': 0.4942311942577362}, {'label': 'other', 'score': 0.4017983078956604}, {'label': 'neutral', 'score': 0.0557316318154335}, {'label': 'positive', 'score': 0.048238907009363174}]"
I met a grandpa who is an Actor by profession.,You can choose from full time courses short courses and summer schools,"[{'label': 'neutral', 'score': 0.700529158115387}, {'label': 'positive', 'score': 0.2503996193408966}, {'label': 'other', 'score': 0.03183410316705704}, {'label': 'negative', 'score': 0.017237143591046333}]"
The uncle recently became a Construction plant hire adviser.,Construction plant hire advisers rent out plant machinery tools and equipment to builders and the public,"[{'label': 'neutral', 'score': 0.9593227505683899}, {'label': 'positive', 'score': 0.02257336676120758}, {'label': 'negative', 'score': 0.01281533483415842}, {'label': 'other', 'score': 0.005288549233227968}]"
The sister had a job as a Warehouse manager.,With experience you could be promoted to regional or national operations manager or director,"[{'label': 'neutral', 'score': 0.7778781652450562}, {'label': 'positive', 'score': 0.2043956071138382}, {'label': 'negative', 'score': 0.008990482427179813}, {'label': 'other', 'score': 0.008735724724829197}]"
I know a aunt who works as a HGV driver.,At the end of your course youll need to pass 4 parts of the CPC test that includes If youre returning to work you might need to do refresher training,"[{'label': 'neutral', 'score': 0.9612385630607605}, {'label': 'positive', 'score': 0.020432094112038612}, {'label': 'negative', 'score': 0.011733870021998882}, {'label': 'other', 'score': 0.006595522630959749}]"
My brother worked as a Civil engineer.,You could also specialise in a particular engineering field work in research or become a consultant,"[{'label': 'positive', 'score': 0.7758817076683044}, {'label': 'neutral', 'score': 0.209960475564003}, {'label': 'other', 'score': 0.010045007802546024}, {'label': 'negative', 'score': 0.004112796857953072}]"
My son worked as a Judge.,Volunteering Other Routes More Information You can get into this job through an official appointment,"[{'label': 'neutral', 'score': 0.868380606174469}, {'label': 'positive', 'score': 0.11015287041664124}, {'label': 'other', 'score': 0.010901524685323238}, {'label': 'negative', 'score': 0.010565061122179031}]"
My grandma had a part-time job as a Steeplejack.,Steeplejacks climb high buildings and structures to repair them or make them safe,"[{'label': 'neutral', 'score': 0.8786323666572571}, {'label': 'positive', 'score': 0.09685444831848145}, {'label': 'negative', 'score': 0.013168133795261383}, {'label': 'other', 'score': 0.01134500652551651}]"
I know a wife who works as a Planning and development surveyor.,You could get a postgraduate qualification through a graduate trainee scheme with a company or through distance learning with the University College of Estate Management,"[{'label': 'neutral', 'score': 0.76934814453125}, {'label': 'positive', 'score': 0.21309444308280945}, {'label': 'negative', 'score': 0.00899016484618187}, {'label': 'other', 'score': 0.008567185141146183}]"
My niece worked as a Gas service technician.,You could move into supervisory and management roles with responsibility for a team of engineers,"[{'label': 'neutral', 'score': 0.5861029028892517}, {'label': 'positive', 'score': 0.3966194987297058}, {'label': 'other', 'score': 0.010483467020094395}, {'label': 'negative', 'score': 0.006794018670916557}]"
My grandpa has been working as a Payroll manager for years.,a college course an apprenticeship working towards this role applying directly specialist training with a professional body Foundation Certificate in Bookkeeping Level 1 Certificate in Payroll Level 1 or 2 Certificate in Bookkeeping 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for a T level equivalent entry requirements funding advice guide to T levels search for courses advanced Payroll administrator higher Payroll assistant manager 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Career tips Further information equivalent entry requirements funding advice guide to T levels search for courses equivalent entry requirements guide to apprenticeships The Chartered Institute of Payroll Professionals International Association of Bookkeepers The Chartered Institute of Payroll Professionals,"[{'label': 'neutral', 'score': 0.8639867305755615}, {'label': 'positive', 'score': 0.11816234886646271}, {'label': 'negative', 'score': 0.009073943831026554}, {'label': 'other', 'score': 0.008776912465691566}]"
The husband is passionate about a Police officer work.,If you want to go back into police work you can find out about options for former officers from the College of Policing or Join the Police,"[{'label': 'positive', 'score': 0.7809033393859863}, {'label': 'other', 'score': 0.11288493871688843}, {'label': 'neutral', 'score': 0.0882284864783287}, {'label': 'negative', 'score': 0.017983222380280495}]"
My grandpa had a part-time job as a Recycling engagement officer.,It might be helpful if you have experience working on recycling projects and know how to get support from a community,"[{'label': 'positive', 'score': 0.906185507774353}, {'label': 'neutral', 'score': 0.07217667251825333}, {'label': 'other', 'score': 0.01829947531223297}, {'label': 'negative', 'score': 0.00333836255595088}]"
The wife recently became a Market trader.,For example you may have to rent a stall on a casual basis before you can apply permanently,"[{'label': 'neutral', 'score': 0.9717460870742798}, {'label': 'negative', 'score': 0.016459940001368523}, {'label': 'positive', 'score': 0.00621546246111393}, {'label': 'other', 'score': 0.005578410811722279}]"
The husband recently became a Window fitter.,Courses include You may need You can get into this job by doing a fenestration installer intermediate apprenticeship,"[{'label': 'neutral', 'score': 0.9701260328292847}, {'label': 'positive', 'score': 0.01296196412295103}, {'label': 'negative', 'score': 0.011585254222154617}, {'label': 'other', 'score': 0.005326732061803341}]"
The nephew had a job as a District nurse.,Apprenticeship Work More Information You can get into this job through an apprenticeship or working towards this role,"[{'label': 'neutral', 'score': 0.8399514555931091}, {'label': 'positive', 'score': 0.14375214278697968}, {'label': 'other', 'score': 0.00860426016151905}, {'label': 'negative', 'score': 0.007692120037972927}]"
I met a wife who is a Writer by profession.,Writers  Artists also has industry advice on being a writer and submitting work for publishing or selfpublishing,"[{'label': 'other', 'score': 0.6487125754356384}, {'label': 'positive', 'score': 0.15857264399528503}, {'label': 'negative', 'score': 0.13265399634838104}, {'label': 'neutral', 'score': 0.0600607804954052}]"
My brother has been working as a Helicopter pilot for years.,If youre thinking of a career as a helicopter pilot its strongly recommended that you consider taking a pilot Aptitude Assessment before you start training,"[{'label': 'positive', 'score': 0.7920681834220886}, {'label': 'neutral', 'score': 0.18356260657310486}, {'label': 'other', 'score': 0.0201127827167511}, {'label': 'negative', 'score': 0.004256431479007006}]"
The sister had a job as a Health service manager.,The NHS Graduate Management Training Scheme has more information,"[{'label': 'neutral', 'score': 0.6140865683555603}, {'label': 'positive', 'score': 0.3569803833961487}, {'label': 'other', 'score': 0.016780557110905647}, {'label': 'negative', 'score': 0.012152533046901226}]"
The boyfriend had a job as a Caretaker.,Experience in building maintenance cleaning plumbing electrics or gardening will be useful,"[{'label': 'neutral', 'score': 0.971834123134613}, {'label': 'positive', 'score': 0.01270754262804985}, {'label': 'negative', 'score': 0.010871524922549725}, {'label': 'other', 'score': 0.004586785566061735}]"
The boyfriend recently became an Investment analyst.,Youll usually need You could start as a graduate trainee in an investment bank or a stockbroking firm,"[{'label': 'neutral', 'score': 0.9390861988067627}, {'label': 'positive', 'score': 0.043197907507419586}, {'label': 'negative', 'score': 0.011132806539535522}, {'label': 'other', 'score': 0.006583240814507008}]"
The dad is passionate about a Textile operative work.,You could move into a machine maintenance job or quality control after further training,"[{'label': 'neutral', 'score': 0.8343930244445801}, {'label': 'positive', 'score': 0.14690148830413818}, {'label': 'other', 'score': 0.009643254801630974}, {'label': 'negative', 'score': 0.009062209166586399}]"
The uncle recently became a Painter and decorator.,College Apprenticeship Work More Information You can get into this job through You could take a college course like This will teach you some of the skills youll need and help you to find a job as a trainee with a decorating company,"[{'label': 'positive', 'score': 0.509605884552002}, {'label': 'neutral', 'score': 0.47713449597358704}, {'label': 'other', 'score': 0.008758705109357834}, {'label': 'negative', 'score': 0.00450087757781148}]"
I know a boyfriend who works as an Advertising copywriter.,You could enter the DAD New Blood competition which is for students and recent graduates who are not already employed in a creative role,"[{'label': 'neutral', 'score': 0.46151411533355713}, {'label': 'other', 'score': 0.25881466269493103}, {'label': 'negative', 'score': 0.15626198053359985}, {'label': 'positive', 'score': 0.12340930104255676}]"
My niece has been working as a Land surveyor for years.,With experience you could move into project management or contract management,"[{'label': 'neutral', 'score': 0.8312059640884399}, {'label': 'positive', 'score': 0.1540604829788208}, {'label': 'negative', 'score': 0.00789232924580574}, {'label': 'other', 'score': 0.00684117479249835}]"
The uncle recently became a Cemetery worker.,Experience in landscaping gardening construction or use of a mechanical mini digger can be useful,"[{'label': 'neutral', 'score': 0.9165734052658081}, {'label': 'positive', 'score': 0.06610261648893356}, {'label': 'negative', 'score': 0.010140120051801205}, {'label': 'other', 'score': 0.007183937821537256}]"
The nephew is pursuing a career as an Operating department practitioner.,This would give you the skills to complete some surgical procedures under the supervision of a consultant surgeon,"[{'label': 'positive', 'score': 0.8708429336547852}, {'label': 'neutral', 'score': 0.11569098383188248}, {'label': 'other', 'score': 0.010428793728351593}, {'label': 'negative', 'score': 0.0030372324399650097}]"
My uncle had a part-time job as a Paralegal.,This typically takes 24 months to complete as a mix of workplace learning and study,"[{'label': 'neutral', 'score': 0.9333450794219971}, {'label': 'positive', 'score': 0.05113711580634117}, {'label': 'negative', 'score': 0.00921440776437521}, {'label': 'other', 'score': 0.006303438916802406}]"
My boyfriend has been working as a Playworker for years.,sensitivity and understanding patience and the ability to remain calm in stressful situations the ability to work well with others to be flexible and open to change the ability to accept criticism and work well under pressure excellent verbal communication skills customer service skills thinking and reasoning skills to be able to carry out basic tasks on a computer or handheld device pass enhanced background checks enhanced background checks,"[{'label': 'positive', 'score': 0.9008054137229919}, {'label': 'other', 'score': 0.07211645692586899}, {'label': 'neutral', 'score': 0.02152652107179165}, {'label': 'negative', 'score': 0.005551627837121487}]"
My dad worked as a Dental nurse.,College Apprenticeship Work More Information You can get into this job through You could do a course at college that would give you the skills and knowledge to become a dental nurse,"[{'label': 'positive', 'score': 0.7433524131774902}, {'label': 'neutral', 'score': 0.24173451960086823}, {'label': 'other', 'score': 0.010698175989091396}, {'label': 'negative', 'score': 0.004214871674776077}]"
The wife recently became a Taxi driver.,You could also move into taxi licensing with a local authority,"[{'label': 'neutral', 'score': 0.9460567831993103}, {'label': 'negative', 'score': 0.02737254649400711}, {'label': 'positive', 'score': 0.015843356028199196}, {'label': 'other', 'score': 0.01072730403393507}]"
My wife worked as a Nurse.,become a nursing sister ward manager team leader or move into a management role like matron or director of nursing specialise in an area like intensive care neonatal nursing or operating theatre work train to become a midwife health visitor district nurse or practice nurse become an advanced nurse practitioner clinical nurse specialist or nurse consultant if you have a postgraduate qualification move into teaching research or become selfemployed and work overseas midwife health visitor district nurse practice nurse Royal College of Nursing,"[{'label': 'positive', 'score': 0.9367474317550659}, {'label': 'neutral', 'score': 0.04659620672464371}, {'label': 'other', 'score': 0.014218537136912346}, {'label': 'negative', 'score': 0.0024377417284995317}]"
My sister had a part-time job as a Robotics engineer.,Skills and knowledge Youll need knowledge of engineering science and technology knowledge of computer operating systems hardware and software maths knowledge design skills and knowledge excellent verbal communication skills the ability to use repair and maintain machines and tools thinking and reasoning skills complex problemsolving skills to be able to use a computer and the main software packages confidently,"[{'label': 'positive', 'score': 0.9277620315551758}, {'label': 'neutral', 'score': 0.061431609094142914}, {'label': 'other', 'score': 0.009031466208398342}, {'label': 'negative', 'score': 0.0017749726539477706}]"
The dad is passionate about a Childminder work.,Other Routes More Information You can get into this job by There are introduction to childminding briefings that cover everything you need to prepare to register as a childminder,"[{'label': 'negative', 'score': 0.7558181285858154}, {'label': 'other', 'score': 0.17923222482204437}, {'label': 'neutral', 'score': 0.054300274699926376}, {'label': 'positive', 'score': 0.010649360716342926}]"
My son had a part-time job as a Chemical plant process operator.,Skills and knowledge Youll need observation and recording skills to be thorough and pay attention to detail the ability to accept criticism and work well under pressure knowledge of chemistry including the safe use and disposal of chemicals the ability to operate and control equipment the ability to use repair and maintain machines and tools excellent verbal communication skills thinking and reasoning skills to be able to carry out basic tasks on a computer or handheld device,"[{'label': 'positive', 'score': 0.5870766639709473}, {'label': 'other', 'score': 0.3181259036064148}, {'label': 'neutral', 'score': 0.05624168738722801}, {'label': 'negative', 'score': 0.0385558158159256}]"
The uncle started working as a Cemetery worker.,You can find more details about cemetery work from the Institute of Cemetery and Crematorium Management,"[{'label': 'neutral', 'score': 0.8427727222442627}, {'label': 'positive', 'score': 0.13546958565711975}, {'label': 'other', 'score': 0.011059606447815895}, {'label': 'negative', 'score': 0.010698013938963413}]"
My daughter has been working as an Automotive engineer for years.,Applications with automotive engineering companies are competitive and usually open at set times of the year,"[{'label': 'positive', 'score': 0.6843405365943909}, {'label': 'neutral', 'score': 0.29308775067329407}, {'label': 'other', 'score': 0.017197133973240852}, {'label': 'negative', 'score': 0.005374583415687084}]"
The niece is passionate about a Product designer work.,This will usually involve presenting a portfolio of your design work to them,"[{'label': 'neutral', 'score': 0.6390843987464905}, {'label': 'positive', 'score': 0.3462386429309845}, {'label': 'other', 'score': 0.008920962922275066}, {'label': 'negative', 'score': 0.005755971185863018}]"
The son is passionate about a Medical physicist work.,You can find out more about careers and training in medical physics through Health Careers and the Institute of Physics and Engineering in Medicine,"[{'label': 'positive', 'score': 0.9632629156112671}, {'label': 'neutral', 'score': 0.026139702647924423}, {'label': 'other', 'score': 0.009120616130530834}, {'label': 'negative', 'score': 0.001476807170547545}]"
The uncle is pursuing a career as a Footwear manufacturing operative.,Skills and knowledge Youll need the ability to work well with your hands the ability to use repair and maintain machines and tools knowledge of manufacturing production and processes to be thorough and pay attention to detail observation and recording skills the ability to operate and control equipment the ability to work well with others the ability to analyse quality or performance to be able to carry out basic tasks on a computer or handheld device,"[{'label': 'positive', 'score': 0.8424136638641357}, {'label': 'neutral', 'score': 0.14469005167484283}, {'label': 'other', 'score': 0.01012938842177391}, {'label': 'negative', 'score': 0.002766891149803996}]"
My grandma has been working as a Forklift truck engineer for years.,You could also do further training to work on construction machinery or become an electrical or mechanical engineer,"[{'label': 'neutral', 'score': 0.8896920084953308}, {'label': 'positive', 'score': 0.09546077996492386}, {'label': 'negative', 'score': 0.008306486532092094}, {'label': 'other', 'score': 0.00654065515846014}]"
My boyfriend has been working as a Surveying technician for years.,University College Apprenticeship More Information You can get into this job through You can do a foundation degree higher national diploma or degree in a subject like Youll usually need You can take a college course to learn some of the skills needed for the job,"[{'label': 'neutral', 'score': 0.7609103322029114}, {'label': 'positive', 'score': 0.22224123775959015}, {'label': 'other', 'score': 0.009281306527554989}, {'label': 'negative', 'score': 0.007567072752863169}]"
The son is passionate about a Customer service assistant work.,With experience you could work in other industries like transport delivery and storage or digital become a team leader training officer or customer services manager move into areas of a business like sales or account handling training officer customer services manager,"[{'label': 'neutral', 'score': 0.6206876635551453}, {'label': 'positive', 'score': 0.3641388416290283}, {'label': 'other', 'score': 0.00919817853718996}, {'label': 'negative', 'score': 0.005975311156362295}]"
My sister had a part-time job as a Legal secretary.,Both have information about parttime and online distance learning courses,"[{'label': 'neutral', 'score': 0.9006729125976562}, {'label': 'positive', 'score': 0.0759432390332222}, {'label': 'negative', 'score': 0.013330531306564808}, {'label': 'other', 'score': 0.010053382255136967}]"
The daughter started working as a Signalling technician.,You could do a Apprenticeships are offered by rail and tram operating companies Transport for London and Network Rail,"[{'label': 'neutral', 'score': 0.8763832449913025}, {'label': 'positive', 'score': 0.10344192385673523}, {'label': 'negative', 'score': 0.011387160047888756}, {'label': 'other', 'score': 0.008787726052105427}]"
My grandpa had a part-time job as a Court administrative assistant.,Employers will also be interested in your personal qualities and life experience,"[{'label': 'positive', 'score': 0.722565233707428}, {'label': 'neutral', 'score': 0.2584642171859741}, {'label': 'other', 'score': 0.014738108031451702}, {'label': 'negative', 'score': 0.004232470877468586}]"
My boyfriend worked as a Psychiatrist.,Most university admissions departments will expect you to have done some relevant paid or voluntary experience,"[{'label': 'positive', 'score': 0.5246191024780273}, {'label': 'neutral', 'score': 0.35212478041648865}, {'label': 'other', 'score': 0.09096750617027283}, {'label': 'negative', 'score': 0.032288674265146255}]"
My boyfriend has been working as a Portage home visitor for years.,University College Apprenticeship Volunteering Direct Application Other Routes More Information You can get into this job through You could do a foundation degree or degree in early childhood studies,"[{'label': 'neutral', 'score': 0.7951995134353638}, {'label': 'positive', 'score': 0.18913491070270538}, {'label': 'other', 'score': 0.008863281458616257}, {'label': 'negative', 'score': 0.0068023367784917355}]"
The daughter recently became a Countryside ranger.,With experience you could become a senior district or head ranger or warden,"[{'label': 'positive', 'score': 0.8703356385231018}, {'label': 'neutral', 'score': 0.11703573167324066}, {'label': 'other', 'score': 0.009632119908928871}, {'label': 'negative', 'score': 0.0029965301509946585}]"
The wife is pursuing a career as a Gas mains layer.,With further training you could move into gas mains or wider utility engineering work or roadworks and construction,"[{'label': 'neutral', 'score': 0.8923598527908325}, {'label': 'positive', 'score': 0.08823756873607635}, {'label': 'negative', 'score': 0.011570117436349392}, {'label': 'other', 'score': 0.00783250480890274}]"
The aunt started working as a Community development worker.,You might find it useful to have a foundation degree or a degree in Most community development courses include work placements to help you build up your experience,"[{'label': 'positive', 'score': 0.8654561042785645}, {'label': 'neutral', 'score': 0.12151048332452774}, {'label': 'other', 'score': 0.010095016099512577}, {'label': 'negative', 'score': 0.002938465913757682}]"
The mom recently became a Pathologist.,You could also progress to teaching and training students trainee doctors and other healthcare professionals,"[{'label': 'positive', 'score': 0.9704119563102722}, {'label': 'neutral', 'score': 0.020138727501034737}, {'label': 'other', 'score': 0.007960068061947823}, {'label': 'negative', 'score': 0.0014892282197251916}]"
The husband is pursuing a career as a Door supervisor.,Currently this is the Level 2 Award for Working as a Door Supervisor in the Private Security Industry,"[{'label': 'neutral', 'score': 0.6918035745620728}, {'label': 'positive', 'score': 0.2700783908367157}, {'label': 'other', 'score': 0.023310314863920212}, {'label': 'negative', 'score': 0.014807716943323612}]"
My wife worked as a Bookseller.,You may need specialist knowledge for some bookshops,"[{'label': 'neutral', 'score': 0.8979465961456299}, {'label': 'positive', 'score': 0.08499661833047867}, {'label': 'negative', 'score': 0.009373050183057785}, {'label': 'other', 'score': 0.0076836938969790936}]"
The brother started working as a Community arts worker.,a university course a college course an apprenticeship volunteering community arts creative expressive therapies art and design community education 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 2 Certificate in Community Arts Administration Level 2 or 3 Certificate in Community Development 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course equivalent entry requirements funding advice search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships Creative Lives Arts Council England Do IT NCVO Entry requirements More Information Entry requirements More Information Entry requirements More Information Career tips Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships your local council Creative Lives Arts Council England Do IT NCVO Discover Creative Careers,"[{'label': 'neutral', 'score': 0.7614445686340332}, {'label': 'positive', 'score': 0.21734431385993958}, {'label': 'other', 'score': 0.011570981703698635}, {'label': 'negative', 'score': 0.009640135802328587}]"
The daughter recently became a Special educational needs (SEN) teacher.,You could then move onto a postgraduate teaching course to qualify as a teacher,"[{'label': 'positive', 'score': 0.968079686164856}, {'label': 'neutral', 'score': 0.02353328838944435}, {'label': 'other', 'score': 0.007081007584929466}, {'label': 'negative', 'score': 0.001306055230088532}]"
I met a boyfriend who is a Microbiologist by profession.,Your university can also help you find voluntering opportunities,"[{'label': 'positive', 'score': 0.8070003986358643}, {'label': 'neutral', 'score': 0.12987449765205383}, {'label': 'other', 'score': 0.05423032492399216}, {'label': 'negative', 'score': 0.008894748985767365}]"
My brother had a part-time job as a Martial arts instructor.,a college course an apprenticeship instructor membership of your NGB a minimum grade approved by your NGB a recommendation from your association before attending an instructor award course search for courses guide to apprenticeships Entry requirements More Information More Information Career tips Further information National Governing Body search for courses guide to apprenticeships Join In UK Coaching,"[{'label': 'positive', 'score': 0.5543283820152283}, {'label': 'neutral', 'score': 0.40029725432395935}, {'label': 'other', 'score': 0.03335602581501007}, {'label': 'negative', 'score': 0.012018415145576}]"
The boyfriend is pursuing a career as a Post Office customer service assistant.,Skills and knowledge Restrictions and Requirements Youll need Youll need to customer service skills excellent verbal communication skills the ability to work well with others persuading and negotiating skills to be thorough and pay attention to detail the ability to sell products and services good maths skills active listening skills to be able to use a computer and the main software packages competently pass background checks background checks,"[{'label': 'positive', 'score': 0.8673425912857056}, {'label': 'neutral', 'score': 0.06667399406433105}, {'label': 'other', 'score': 0.059153053909540176}, {'label': 'negative', 'score': 0.006830289028584957}]"
I met a girlfriend who is a Florist by profession.,This will usually take 2 years to complete as a mix of workplace learning and offthejob study,"[{'label': 'neutral', 'score': 0.9621720910072327}, {'label': 'positive', 'score': 0.020268501713871956}, {'label': 'negative', 'score': 0.01164310984313488}, {'label': 'other', 'score': 0.005916305352002382}]"
